optimizer,lambda_smooth,lambda_feas,lambda_fit,mean_runtime_ms,mean_final_total_cost,std_final_total_cost,mean_cost_reduction_ratio,mean_feas_violation,robust_score
BSpline,2.0,2.0,0.1,89.94030000030762,735.6293778362494,476.3465180665508,0.863621012041577,11.734229070095276,0.6338042239989394
Bezier,2.0,2.0,0.2,37.83580000526854,467.5978979425561,51.88377065606033,0.9996619801050987,4.233536135691633,0.8320206019562928
BSpline,2.0,2.0,0.2,89.77184999821475,332.5388802038501,242.87816100231151,0.949756787809683,8.595180742464738,0.8768770480289131
Bezier,2.0,2.0,0.4,38.459325005533174,518.8993534626239,64.70090766155633,0.9996481171399929,4.575850599688614,0.803470772230555
BSpline,2.0,2.0,0.4,95.61602499888977,646.4641955157049,259.12654920155313,0.9148123452242071,12.120472673074019,0.6814512937588396
Bezier,2.0,4.0,0.05,36.00107500096783,841.8417189570539,20.815269331591963,0.9994722534358114,4.429390442860214,0.8229293649982393
BSpline,2.0,4.0,0.05,94.35424999901443,3416.2041296912075,1751.1288442725502,0.8192950228619678,18.491221374778256,0.3503197947295796
Bezier,2.0,4.0,0.1,35.49765000570915,828.5437750959695,46.34861862735829,0.9994832872649283,4.302743802776712,0.8320556914523397
BSpline,2.0,4.0,0.1,85.4687000028207,1590.9302764691492,1401.2338100091956,0.8824974380041997,10.996806880544755,0.7145889103408638
Bezier,2.0,4.0,0.2,34.63635000298382,848.9457816429697,67.7118997329139,0.9995758678494053,4.464061269142548,0.8654030285956636
BSpline,2.0,4.0,0.2,87.67105000151787,3406.8958118431206,1869.2564579977407,0.8622119993476304,16.77865595087393,0.5327929456273761
Bezier,2.0,4.0,0.4,34.638200002518715,833.9441431091677,77.61952634645974,0.9992887405766993,4.344914567789809,0.786838837265208
BSpline,2.0,4.0,0.4,87.39055000114604,1472.114707330352,1699.1874168451232,0.890311280437647,11.24896310875193,0.7030230529985477
Bezier,2.0,8.0,0.05,33.63165000337176,1504.362815627583,88.46095280795022,0.9993412030859579,4.341696909671318,0.8191581629323011
BSpline,2.0,8.0,0.05,85.03204999578884,5035.268733045803,3283.918046868641,0.8714045806299273,14.813139275654382,0.5926069805298312
Bezier,2.0,8.0,0.1,35.87809999953606,1441.3476930254737,101.91715335895675,0.9995589455713529,4.225716572035165,0.8305162099877123
BSpline,2.0,8.0,0.1,92.60962500047754,10779.341794195374,2676.7201723617227,0.7468064213650439,22.67367500697723,0.12229753330841057
