trial,optimizer,runtime_ms,iterations,eval_count,initial_total_cost,final_total_cost,cost_reduction_ratio,smoothness_cost,feasibility_cost,fitness_cost,max_vel_violation,max_acc_violation,converged
6,Bezier,58.03549999836832,220,240,645972.6420215061,176.87656081939502,0.9997261856782883,0.7398447675841451,171.4404690098162,23.481235209973356,4.248273489692068,0.08014346676499606,0.0
6,BSpline,130.15909999376163,220,234,2420.597079046543,259.8557419049025,0.8926480808581088,12.005559493387192,241.7641159150135,30.430332482509293,3.0711841126597133,11.713587260660411,0.0
7,Bezier,53.4621000115294,220,241,526365.2736813892,188.301101523249,0.9996422615416738,1.5690920492337355,178.6816993764412,40.25155048787034,4.3385923628250636,1.3943962594887402,0.0
7,BSpline,130.858000004082,220,228,2695.4939945863466,464.3588783977127,0.8277277265947041,16.94535716417709,435.329908582329,60.418063256033044,4.201912528982561,14.94423987872569,0.0
8,Bezier,54.54280000412837,220,235,1207460.9238007318,209.8377951840898,0.9998262156637554,1.3963853911648474,202.36546907525937,30.379703588327896,4.5889216548148735,0.9672996711831532,0.0
8,BSpline,124.46049999562092,220,225,6193.073149405496,19.390009109968144,0.9968690812069885,5.194258546048195,12.433855193387968,8.8094768526599,0.002388602955839758,3.436784165060655,0.0
9,Bezier,57.293199992273,220,242,1075345.9118484396,192.34626336218506,0.9998211307996406,0.8620371447597394,185.39972590789725,30.42250154764036,4.219059655751468,0.6193595469781572,0.0
9,BSpline,131.10500000766478,220,233,5962.5950199144445,399.8358170900316,0.9329426506823586,15.676518879540964,366.693637798586,87.32830205952335,2.8827351490240636,11.524112137442682,0.0
10,Bezier,53.029000002425164,220,236,335976.21530776384,215.4116826464929,0.9993588484159536,2.930404697440999,208.2720018517102,21.046380486708447,4.595595820522579,2.0543928369571276,0.0
10,BSpline,132.3426000017207,220,233,887.2042843625351,91.29147749660656,0.8971020777224938,6.802724880102923,80.28323462466365,21.027589959199933,1.6202887309549725,7.568171884361146,0.0
11,Bezier,54.4752999994671,220,236,469269.35622109915,217.28025369361384,0.9995369817977391,2.3077467179173956,210.0504788262344,24.61014074731026,4.658596962502554,1.6175455644370533,0.0
11,BSpline,139.8919999919599,220,237,2277.8210731186846,145.09279128751746,0.9363019365305706,8.649353281848214,132.30097839203412,20.71229806817557,2.2181028459318073,9.27621221286639,0.0
12,Bezier,53.94699999305885,220,234,760501.9835209509,206.4303711445951,0.9997285603777273,3.284927255087111,194.54479632009642,43.003237847057946,4.475728596226895,2.1618982853041766,0.0
12,BSpline,126.96520000463352,220,226,6095.442664383164,586.140785944432,0.9038395046565914,20.32299054842212,549.7517640763176,80.33015659846109,4.680749031986954,16.312344173023956,0.0
13,Bezier,55.42649999551941,220,232,824990.0449729963,225.55752601305576,0.9997265936390537,3.5254760502990226,216.45609648868108,27.87976737037818,4.306643521442192,2.5076961133742515,0.0
13,BSpline,135.92280000739265,220,240,5350.219184190884,633.7161452770432,0.8815532367067163,20.00570018859208,589.1788765642762,122.657842620875,4.42539543035425,15.582762454073375,0.0
14,Bezier,55.75250000401866,220,246,476134.2083715705,165.76337676584487,0.9996518557712273,0.6771128908598093,157.30387085712294,38.911965089310584,3.9449781382724476,0.16812383310326773,0.0
14,BSpline,133.71829999960028,220,242,2114.4027826049314,242.8723510084194,0.885134302221641,11.442238384215258,220.98420366552259,52.22954479340788,2.7823100804992844,10.888232883059185,0.0
15,Bezier,53.06920000293758,220,235,1027773.5120088349,208.39305805283203,0.9997972383452016,1.030903479963362,199.93439316686715,37.138807030007555,4.359073981222445,0.7489662568510012,0.0
15,BSpline,136.2855000043055,220,239,5905.13452572644,252.86325007563036,0.9571790872885282,12.266222987366067,226.89216725248252,68.52429917890885,1.803406309758338,10.64382861714891,0.0
16,Bezier,52.885800003423356,220,237,833590.8805752961,203.2283473300759,0.9997562013308137,2.3340984976934154,194.83906534644603,30.275917429682337,4.299866010088597,1.6708951634040554,0.0
16,BSpline,129.4913000019733,220,236,3315.3895196967633,903.083539381136,0.7276086161170785,27.691366462032008,846.0214700304496,146.85351444327247,4.2615678568695,18.37998979513735,0.0
17,Bezier,55.046900000888854,220,237,625150.4071982667,190.12467358229745,0.9996958737107213,2.552523336226011,182.0971188971826,27.375156744444148,3.8038785110551885,2.0206558669906425,0.0
17,BSpline,136.49490001262166,220,244,2881.1733449113713,682.3825541253108,0.7631581052453816,19.224696018166505,638.94542594245,121.0621608234712,5.3348233338607844,18.181127892663472,0.0
18,Bezier,50.46879999281373,220,234,496712.8460335277,191.53684554903674,0.9996143911978953,1.169320956837225,185.44460599447945,24.614592988600304,4.038450576218005,0.8092959064965264,0.0
